date,open,high,low,close,adj-close,volume
1980-03-17,0.000000,0.827141,0.808554,0.817847,0.407165,1158040
1980-03-18,0.000000,0.830239,0.814749,0.827141,0.411793,1622063
1980-03-19,0.000000,0.842631,0.827141,0.842631,0.419505,1367859
1980-03-20,0.000000,0.861218,0.839533,0.839533,0.417962,3046412
1980-03-21,0.000000,0.848826,0.836435,0.836435,0.416420,1020851
1980-03-24,0.000000,0.842631,0.830239,0.830239,0.413335,778752
1980-03-25,0.000000,0.842631,0.827141,0.830239,0.413335,944186
1980-03-26,0.000000,0.842631,0.827141,0.842631,0.419505,2332220
1980-03-27,0.000000,0.830239,0.811652,0.811652,0.404081,770682
1980-03-28,0.000000,0.842631,0.830239,0.836435,0.416420,459988
1980-03-31,0.000000,0.851924,0.836435,0.845729,0.421047,250169
1980-04-01,0.000000,0.861218,0.845729,0.858120,0.427215,201749
1980-04-02,0.000000,0.904589,0.858120,0.898393,0.447265,758577
1980-04-03,0.000000,0.926274,0.901491,0.916980,0.456519,1480839
1980-04-07,0.000000,0.916980,0.901491,0.901491,0.448808,464023
1980-04-08,0.000000,0.895295,0.886001,0.886001,0.441096,1355754
1980-04-09,0.000000,0.886001,0.886001,0.886001,0.441096,347009
1980-04-10,0.000000,0.904589,0.892197,0.895295,0.445723,314729
1980-04-11,0.000000,0.916980,0.901491,0.904589,0.450350,710157
1980-04-14,0.000000,0.898393,0.892197,0.892197,0.444181,205784
1980-04-15,0.000000,0.904589,0.895295,0.898393,0.447265,197714
1980-04-16,0.000000,0.916980,0.904589,0.904589,0.450350,2134506
1980-04-17,0.000000,0.898393,0.892197,0.898393,0.447265,1371894
1980-04-18,0.000000,0.907687,0.898393,0.898393,0.447265,391393
1980-04-21,0.000000,0.904589,0.898393,0.898393,0.447265,379288
1980-04-22,0.000000,0.929372,0.904589,0.904589,0.450350,1125760
1980-04-23,0.000000,0.920078,0.904589,0.910785,0.453435,625422
1980-04-24,0.000000,0.916980,0.907687,0.916980,0.456519,246134
1980-04-25,0.000000,0.920078,0.913882,0.913882,0.454976,121049
1980-04-28,0.000000,0.926274,0.913882,0.926274,0.461146,347009
1980-04-29,0.000000,0.926274,0.923176,0.923176,0.459604,1166110
1980-04-30,0.000000,0.926274,0.920078,0.920078,0.458061,431743
1980-05-01,0.000000,0.947959,0.932470,0.944862,0.470400,500338
1980-05-02,0.000000,0.951057,0.935568,0.935568,0.465773,217889
1980-05-05,0.000000,0.947959,0.935568,0.947959,0.471942,455953
1980-05-06,0.000000,0.954155,0.941764,0.947959,0.471942,375253
1980-05-07,0.000000,0.954155,0.938666,0.941764,0.468858,407533
1980-05-08,0.000000,0.954155,0.941764,0.947959,0.471942,1343649
